Date,Close,Open,High,Low,Volume,Daily_Return,SMA_20,RSI_14,totalliabilities,totalshareholderequity,totalassets,cashandcashequivalentsatcarryingvalue,debt_to_equity,sentiment_score,target_5day_return,sentiment_3day_ma
2021-01-04,159.33,163.5,163.6,157.2,88230000.0,-0.0216,160.35899999999998,40.36598493003231,227791000000.0,93404000000.0,321195000000.0,42122000000.0,2.4387713588283155,0.0,-0.0227201405887153,0.0
2021-01-05,160.93,158.3,161.17,158.25,53110000.0,0.01,160.8425,40.35150645624102,227791000000.0,93404000000.0,321195000000.0,42122000000.0,2.4387713588283155,0.0,-0.030385882060523284,0.0
2021-01-06,156.92,157.32,159.88,156.56,87900000.0,-0.0249,161.0775,41.7513134851138,227791000000.0,93404000000.0,321195000000.0,42122000000.0,2.4387713588283155,0.0,0.008730563344379272,0.0
2021-01-07,158.11,157.85,160.43,157.75,70290000.0,0.0076,161.559,43.1727634914886,227791000000.0,93404000000.0,321195000000.0,42122000000.0,2.4387713588283155,0.0,-0.011004996521409183,0.0
2021-01-08,159.13,159.0,159.53,157.11,70750000.0,0.0065,162.034,47.904829545454525,227791000000.0,93404000000.0,321195000000.0,42122000000.0,2.4387713588283155,0.0,-0.024633947087287056,0.0
2021-01-11,155.71,157.4,157.82,155.5,73380000.0,-0.0215,162.385,31.897370921761137,227791000000.0,93404000000.0,321195000000.0,42122000000.0,2.4387713588283155,0.0,0.0021193243850747834,0.0
2021-01-12,156.04,156.0,157.11,154.3,70290000.0,0.0021,162.862,30.422960725075484,227791000000.0,93404000000.0,321195000000.0,42122000000.0,2.4387713588283155,0.0,0.045693411945654905,0.0
2021-01-13,158.29,156.42,159.5,156.1,66420000.0,0.0144,163.2765,39.27527761542955,227791000000.0,93404000000.0,321195000000.0,42122000000.0,2.4387713588283155,0.0,0.044601680459915416,0.0
2021-01-14,156.37,158.38,158.9,156.03,61420000.0,-0.0121,163.51749999999998,34.67790487658034,227791000000.0,93404000000.0,321195000000.0,42122000000.0,2.4387713588283155,0.0,0.05269552983308823,0.0
2021-01-15,155.21,156.15,157.13,154.76,84880000.0,-0.0074,163.8935,31.280193236714965,227791000000.0,93404000000.0,321195000000.0,42122000000.0,2.4387713588283155,0.0,0.061142967592294095,0.0
