Date,Close,Open,High,Low,Volume,Daily_Return,SMA_20,RSI_14
2025-07-23,214.15,215.0,215.15,212.41,46990000.0,-0.0012,214.15,
2025-07-22,214.4,213.14,214.95,212.23,46400000.0,0.009000000000000001,214.275,100.0
2025-07-21,212.48,212.1,215.78,211.63,51380000.0,0.0062,213.67666666666665,11.520737327188854
2025-07-18,211.18,210.87,211.79,209.7,48970000.0,0.0055000000000000005,213.0525,7.204610951008647
2025-07-17,210.02,210.57,211.8,209.59,48070000.0,-0.0007000000000000001,212.446,5.399568034557248
2025-07-16,210.16,210.29,212.4,208.64,47490000.0,0.005,212.06500000000003,8.17610062893057
2025-07-15,209.11,209.22,211.89,208.92,42300000.0,0.0023,211.64285714285714,6.70103092783485
2025-07-14,208.62,209.93,210.91,207.54,38840000.0,-0.012,211.26500000000001,6.180665610142441
2025-07-11,211.16,210.57,212.13,209.86,39770000.0,-0.0059,211.25333333333333,33.107344632768246
2025-07-10,212.41,210.51,213.48,210.03,44440000.0,0.006,211.369,41.38613861386131
2025-07-09,211.14,209.53,211.33,207.22,48750000.0,0.0054,211.3481818181818,36.76341248900604
2025-07-08,210.01,210.1,211.43,208.45,42850000.0,0.0003,211.23666666666668,33.43999999999991
2025-07-07,209.95,212.68,216.23,208.8,50230000.0,-0.0169,211.1376923076923,33.28025477706997
2025-07-03,213.55,212.15,214.65,211.81,34960000.0,0.0052,211.31,48.14356435643566
2025-07-02,212.44,208.91,213.34,208.14,67940000.0,0.0222,211.38533333333334,45.04921829762592
2025-07-01,207.82,206.66,210.19,206.14,78790000.0,0.0129,211.1625,34.796672828096106
2025-06-30,205.17,202.01,207.39,199.26,91910000.0,0.0203,210.81,33.661153330353144
2025-06-27,201.08,201.89,203.22,200.0,73190000.0,0.0004,210.26944444444445,29.928457869634343
2025-06-26,201.0,201.43,202.64,199.46,50800000.0,-0.0028000000000000004,209.78157894736842,31.27076411960131
2025-06-25,201.56,201.45,203.67,200.62,39530000.0,0.0063,209.3705,32.448979591836775
2025-06-24,200.3,202.59,203.44,200.2,54060000.0,-0.006,208.67799999999997,32.17320922703361
2025-06-23,201.5,201.63,202.3,198.96,55810000.0,0.0025,208.033,35.99527930763179
2025-06-20,201.0,198.24,201.7,196.85,96810000.0,0.0225,207.45899999999997,28.272027373823803
2025-06-18,196.58,195.94,197.57,195.07,45390000.0,0.0048,206.72899999999998,20.188323917137524
2025-06-17,195.64,197.2,198.39,195.21,38860000.0,-0.013999999999999999,206.01,20.442410373760524
2025-06-16,198.42,197.3,198.68,196.56,43020000.0,0.01,205.423,29.20703265159672
2025-06-13,196.45,199.73,200.37,195.7,51450000.0,-0.0138,204.79000000000002,27.333781061114863
2025-06-12,199.2,199.08,199.68,197.36,43900000.0,0.0021,204.31900000000002,25.198755617006526
2025-06-11,198.78,203.5,204.5,198.41,60990000.0,-0.0192,203.7,25.814447592067978
2025-06-10,202.67,200.6,204.35,200.57,54670000.0,0.0060999999999999995,203.213,40.639767357324594
2025-06-09,201.45,204.39,206.0,200.02,72860000.0,-0.0121,202.7285,42.86809815950919
2025-06-06,203.92,203.0,205.7,202.05,46610000.0,0.016399999999999998,202.42399999999998,55.8053965658217
2025-06-05,200.63,203.5,204.75,200.15,55220000.0,-0.0108,201.958,49.331405854716294
2025-06-04,202.82,202.91,206.24,202.1,43600000.0,-0.0022,201.42149999999998,52.15017064846415
2025-06-03,203.27,201.35,203.77,200.96,46380000.0,0.0078000000000000005,200.963,55.212355212355206
